time_ms,event,task
328.045,out,argProvider2
328.449,in,IDLE
328.841,out,IDLE
329.272,in,argProvider1
341.846,out,argProvider1
342.146,in,argProvider2
343.506,out,argProvider2
343.840,in,IDLE
344.239,out,IDLE
344.636,in,argProvider1
344.992,out,argProvider1
345.341,in,argProvider2
345.788,out,argProvider2
346.144,in,IDLE
347.196,out,IDLE
347.874,in,argProvider1
348.181,out,argProvider1
348.628,in,argProvider2
348.995,out,argProvider2
349.346,in,IDLE
349.802,out,IDLE
350.172,in,argProvider1
351.193,out,argProvider1
351.521,in,argProvider2
352.188,out,argProvider2
352.503,in,IDLE
352.857,out,IDLE
353.205,in,argProvider1
354.180,out,argProvider1
354.482,in,argProvider2
355.188,out,argProvider2
355.826,in,IDLE
358.455,out,IDLE
358.855,in,argProvider1
359.588,out,argProvider1
359.921,in,argProvider2
361.203,out,argProvider2
361.554,in,IDLE
362.180,out,IDLE
362.467,in,argProvider1
363.232,out,argProvider1
363.344,in,argProvider2
364.676,out,argProvider2
365.194,in,IDLE
365.789,out,IDLE
366.238,in,argProvider1
367.204,out,argProvider1
367.533,in,argProvider2
368.187,out,argProvider2
368.587,in,IDLE
369.213,out,IDLE
369.598,in,argProvider1
370.219,out,argProvider1
370.615,in,argProvider2
373.033,out,argProvider2
373.445,in,IDLE
374.134,out,IDLE
374.586,in,argProvider1
387.996,out,argProvider1
388.379,in,argProvider2
390.081,out,argProvider2
390.600,in,IDLE
390.955,out,IDLE
391.334,in,argProvider1
391.803,out,argProvider1
392.162,in,argProvider2
392.542,out,argProvider2
392.911,in,IDLE
393.279,out,IDLE
393.739,in,argProvider1
394.109,out,argProvider1
394.497,in,argProvider2
394.889,out,argProvider2
395.256,in,IDLE
395.708,out,IDLE
396.074,in,Tmr Svc
397.164,out,Tmr Svc
397.430,in,argProvider1
398.417,out,argProvider1
398.953,in,argProvider2
399.365,out,argProvider2
399.832,in,IDLE
400.204,out,IDLE
400.639,in,argProvider1
404.595,out,argProvider1
405.006,in,argProvider2
405.654,out,argProvider2
406.291,in,IDLE
406.729,out,IDLE
407.099,in,argProvider1
407.527,out,argProvider1
407.865,in,argProvider2
408.792,out,argProvider2
409.100,in,IDLE
409.784,out,IDLE
410.084,in,argProvider1
410.784,out,argProvider1
411.088,in,argProvider2
411.788,out,argProvider2
412.097,in,IDLE
412.781,out,IDLE
413.121,in,argProvider1
413.884,out,argProvider1
415.164,in,argProvider2
415.858,out,argProvider2
416.236,in,IDLE
417.808,out,IDLE
418.098,in,argProvider1
420.412,out,argProvider1
420.735,in,argProvider2
421.427,out,argProvider2
421.735,in,IDLE
424.922,out,IDLE
425.239,in,Tmr Svc
425.588,out,Tmr Svc
425.929,in,argProvider1
435.733,out,argProvider1
436.038,in,argProvider2
437.473,out,argProvider2
437.786,in,IDLE
438.142,out,IDLE
438.472,in,argProvider1
438.814,out,argProvider1
439.148,in,argProvider2
439.787,out,argProvider2
440.422,in,IDLE
440.767,out,IDLE
441.099,in,argProvider1
441.443,out,argProvider1
441.779,in,argProvider2
442.118,out,argProvider2
442.453,in,IDLE
443.875,out,IDLE
444.172,in,argProvider1
445.764,out,argProvider1
446.029,in,argProvider2
446.805,out,argProvider2
447.109,in,IDLE
448.084,out,IDLE
448.460,in,argProvider1
449.774,out,argProvider1
450.051,in,argProvider2
452.470,out,argProvider2
452.830,in,IDLE
453.438,out,IDLE
453.739,in,argProvider1
466.759,out,argProvider1
467.223,in,argProvider2
468.853,out,argProvider2
469.252,in,IDLE
469.958,out,IDLE
470.439,in,argProvider1
482.175,out,argProvider1
482.638,in,argProvider2
484.196,out,argProvider2
484.909,in,IDLE
485.524,out,IDLE
486.103,in,argProvider1
498.082,out,argProvider1
498.488,in,argProvider2
499.851,out,argProvider2
500.205,in,IDLE
500.635,out,IDLE
501.012,in,argProvider1
514.305,out,argProvider1
516.280,in,argProvider2
516.463,out,argProvider2
516.578,in,IDLE
517.005,out,IDLE
517.404,in,Tmr Svc
517.932,out,Tmr Svc
518.306,in,argProvider1
528.700,out,argProvider1
529.073,in,argProvider2
530.788,out,argProvider2
531.652,in,IDLE
532.127,out,IDLE
532.591,in,argProvider1
542.883,out,argProvider1
544.264,in,argProvider2
544.684,out,argProvider2
546.203,in,IDLE
546.953,out,IDLE
547.305,in,argProvider1
558.494,out,argProvider1
558.942,in,argProvider2
560.488,out,argProvider2
560.802,in,IDLE
561.157,out,IDLE
561.496,in,argProvider1
573.623,out,argProvider1
574.043,in,argProvider2
575.729,out,argProvider2
576.248,in,IDLE
577.077,out,IDLE
577.690,in,argProvider1
578.136,out,argProvider1
578.560,in,argProvider2
589.220,out,argProvider2
589.649,in,IDLE
591.281,out,IDLE
591.686,in,argProvider1
592.180,out,argProvider1
592.716,in,argProvider2
605.233,out,argProvider2
605.717,in,IDLE
607.339,out,IDLE
608.103,in,argProvider1
608.896,out,argProvider1
609.435,in,argProvider2
621.287,out,argProvider2
621.715,in,IDLE
623.140,out,IDLE
623.474,in,argProvider1
623.814,out,argProvider1
624.142,in,argProvider2
637.152,out,argProvider2
637.498,in,IDLE
638.860,out,IDLE
639.168,in,argProvider1
639.534,out,argProvider1
639.870,in,argProvider2
640.224,out,argProvider2
640.571,in,IDLE
640.903,out,IDLE
641.234,in,argProvider1
641.574,out,argProvider1
641.889,in,argProvider2
642.439,out,argProvider2
642.735,in,IDLE
643.419,out,IDLE
643.712,in,argProvider1
644.402,out,argProvider1
645.254,in,argProvider2
645.792,out,argProvider2
646.115,in,IDLE
646.472,out,IDLE
646.877,in,argProvider1
647.427,out,argProvider1
647.877,in,argProvider2
648.477,out,argProvider2
648.803,in,IDLE
649.392,out,IDLE
649.692,in,argProvider1
650.388,out,argProvider1
650.689,in,argProvider2
651.387,out,argProvider2
651.681,in,IDLE
652.975,out,IDLE
655.084,in,argProvider1
655.393,out,argProvider1
656.051,in,argProvider2
656.364,out,argProvider2
656.699,in,IDLE
657.396,out,IDLE
657.691,in,argProvider1
658.405,out,argProvider1
658.686,in,argProvider2
659.413,out,argProvider2
659.758,in,IDLE
660.106,out,IDLE
660.443,in,Tmr Svc
660.776,out,Tmr Svc
661.109,in,argProvider1
661.642,out,argProvider1
662.452,in,argProvider2
662.905,out,argProvider2
663.334,in,IDLE
663.728,out,IDLE
664.189,in,argProvider1
664.596,out,argProvider1
664.946,in,argProvider2
665.435,out,argProvider2
665.788,in,IDLE
666.160,out,IDLE
666.517,in,argProvider1
666.871,out,argProvider1
667.227,in,argProvider2
667.584,out,argProvider2
667.938,in,IDLE
670.431,out,IDLE
671.056,in,argProvider1
671.738,out,argProvider1
672.029,in,argProvider2
685.049,out,argProvider2
685.409,in,IDLE
686.866,out,IDLE
687.172,in,argProvider1
687.533,out,argProvider1
687.874,in,argProvider2
688.205,out,argProvider2
688.558,in,IDLE
688.898,out,IDLE
689.227,in,argProvider1
689.561,out,argProvider1
689.900,in,argProvider2
690.421,out,argProvider2
690.700,in,IDLE
691.052,out,IDLE
691.388,in,Tmr Svc
691.719,out,Tmr Svc
692.053,in,argProvider1
692.428,out,argProvider1
692.754,in,argProvider2
693.385,out,argProvider2
693.675,in,IDLE
694.004,out,IDLE
694.340,in,argProvider1
694.674,out,argProvider1
695.005,in,argProvider2
695.413,out,argProvider2
695.463,in,IDLE
696.442,out,IDLE
697.049,in,argProvider1
697.502,out,argProvider1
698.441,in,argProvider2
698.784,out,argProvider2
699.160,in,IDLE
699.529,out,IDLE
699.898,in,argProvider1
702.401,out,argProvider1
702.732,in,argProvider2
703.394,out,argProvider2
704.083,in,IDLE
704.460,out,IDLE
704.818,in,argProvider1
705.414,out,argProvider1
705.712,in,argProvider2
707.380,out,argProvider2
707.680,in,IDLE
708.382,out,IDLE
708.665,in,argProvider1
709.385,out,argProvider1
709.679,in,argProvider2
710.393,out,argProvider2
710.678,in,IDLE
711.437,out,IDLE
711.988,in,argProvider1
712.407,out,argProvider1
712.745,in,argProvider2
713.430,out,argProvider2
713.752,in,IDLE
714.082,out,IDLE
714.932,in,Tmr Svc
715.242,out,Tmr Svc
715.597,in,argProvider1
715.939,out,argProvider1
716.283,in,argProvider2
719.409,out,argProvider2
719.773,in,IDLE
720.564,out,IDLE
721.107,in,argProvider1
733.079,out,argProvider1
733.445,in,argProvider2
735.059,out,argProvider2
735.427,in,IDLE
735.806,out,IDLE
736.210,in,argProvider1
748.846,out,argProvider1
749.286,in,argProvider2
750.869,out,argProvider2
751.411,in,IDLE
751.966,out,IDLE
752.517,in,argProvider1
763.162,out,argProvider1
764.939,in,argProvider2
765.648,out,argProvider2
766.192,in,IDLE
778.396,out,IDLE
778.840,in,argProvider1
780.738,out,argProvider1
781.457,in,argProvider2
782.234,out,argProvider2
782.847,in,IDLE
783.449,out,IDLE
783.912,in,Tmr Svc
784.433,out,Tmr Svc
784.914,in,argProvider1
794.428,out,argProvider1
794.840,in,argProvider2
797.815,out,argProvider2
799.305,in,IDLE
799.756,out,IDLE
800.173,in,argProvider1
809.221,out,argProvider1
809.590,in,argProvider2
811.165,out,argProvider2
811.615,in,IDLE
812.095,out,IDLE
812.491,in,argProvider1
825.253,out,argProvider1
825.697,in,argProvider2
827.313,out,argProvider2
827.901,in,IDLE
828.446,out,IDLE
828.965,in,argProvider1
840.535,out,argProvider1
840.972,in,argProvider2
842.634,out,argProvider2
843.206,in,IDLE
843.808,out,IDLE
844.390,in,argProvider1
855.198,out,argProvider1
856.911,in,TX
858.492,out,TX
858.951,in,argProvider2
871.101,out,argProvider2
871.559,in,IDLE
873.497,out,IDLE
874.059,in,argProvider1
876.021,out,argProvider1
876.705,in,TX
877.307,out,TX
877.767,in,argProvider2
886.375,out,argProvider2
886.844,in,IDLE
889.089,out,IDLE
891.091,in,argProvider1
891.468,out,argProvider1
891.839,in,argProvider2
901.042,out,argProvider2
901.423,in,IDLE
902.788,out,IDLE
903.186,in,argProvider1
903.558,out,argProvider1
903.916,in,argProvider2
904.276,out,argProvider2
904.640,in,IDLE
905.000,out,IDLE
905.376,in,argProvider1
906.203,out,argProvider1
906.523,in,argProvider2
906.836,out,argProvider2
907.150,in,IDLE
907.461,out,IDLE
907.766,in,argProvider1
908.081,out,argProvider1
908.409,in,TX
908.721,out,TX
909.027,in,argProvider2
909.426,out,argProvider2
909.737,in,IDLE
910.400,out,IDLE
910.717,in,argProvider1
911.423,out,argProvider1
911.723,in,TX
912.030,out,TX
912.334,in,argProvider2
912.683,out,argProvider2
912.961,in,IDLE
913.412,out,IDLE
913.749,in,argProvider1
914.538,out,argProvider1
915.525,in,argProvider2
916.064,out,argProvider2
916.481,in,IDLE
918.817,out,IDLE
919.164,in,argProvider1
919.739,out,argProvider1
920.075,in,argProvider2
920.401,out,argProvider2
920.693,in,IDLE
921.473,out,IDLE
921.841,in,argProvider1
923.392,out,argProvider1
923.891,in,argProvider2
924.400,out,argProvider2
924.724,in,IDLE
925.403,out,IDLE
925.708,in,argProvider1
926.421,out,argProvider1
926.702,in,TX
927.304,out,TX
927.604,in,argProvider2
927.904,out,argProvider2
928.201,in,IDLE
928.524,out,IDLE
928.820,in,Tmr Svc
929.151,out,Tmr Svc
929.450,in,argProvider1
929.726,out,argProvider1
930.037,in,argProvider2
930.409,out,argProvider2
930.800,in,IDLE
931.887,out,IDLE
932.314,in,argProvider1
934.852,out,argProvider1
935.219,in,argProvider2
948.480,out,argProvider2
950.403,in,IDLE
951.754,out,IDLE
952.154,in,argProvider1
964.761,out,argProvider1
965.147,in,argProvider2
967.053,out,argProvider2
967.594,in,IDLE
968.131,out,IDLE
968.691,in,argProvider1
979.213,out,argProvider1
979.644,in,argProvider2
981.973,out,argProvider2
982.699,in,IDLE
983.296,out,IDLE
985.486,in,argProvider1
994.250,out,argProvider1
994.673,in,argProvider2
996.250,out,argProvider2
997.549,in,IDLE
997.862,out,IDLE
998.400,in,argProvider1
1011.014,out,argProvider1
1011.496,in,argProvider2
1013.067,out,argProvider2
1013.914,in,IDLE
1025.140,out,IDLE
1025.612,in,argProvider1
1027.346,out,argProvider1
